time	y
0.802	15.01
0.804	15.02
0.806	15.03
0.808	15.04
0.81	15.05
0.812	15.06
0.814	15.07
0.816	15.08
0.818	15.09
0.82	15.1
0.822	15.11
0.824	15.12
0.826	15.13
0.828	15.14
0.83	15.15
0.832	15.16
0.834	15.17
0.836	15.18
0.838	15.19
0.84	15.2
0.842	15.21
0.844	15.22
0.846	15.23
0.848	15.24
0.85	15.25
0.852	15.26
0.854	15.27
0.856	15.28
0.858	15.29
0.86	15.3
0.862	15.31
0.864	15.32
0.866	15.33
0.868	15.34
0.87	15.35
0.872	15.36
0.874	15.37
0.876	15.38
0.878	15.39
0.88	15.4
0.882	15.41
0.884	15.42
0.886	15.43
0.888	15.44
0.89	15.45
0.892	15.46
0.894	15.47
0.896	15.48
0.898	15.49
0.9	15.5
0.902	15.51
0.904	15.52
0.906	15.53
0.908	15.54
0.91	15.55
0.912	15.56
0.914	15.57
0.916	15.58
0.918	15.59
0.92	15.6
0.922	15.61
0.924	15.62
0.926	15.63
0.928	15.64
0.93	15.65
0.932	15.66
0.934	15.67
0.936	15.68
0.938	15.69
0.94	15.7
0.942	15.71
0.944	15.72
0.946	15.73
0.948	15.74
0.95	15.75
0.952	15.76
0.954	15.77
0.956	15.78
0.958	15.79
0.96	15.8
0.962	15.81
0.964	15.82
0.966	15.83
0.968	15.84
0.97	15.85
0.972	15.86
0.974	15.87
0.976	15.88
0.978	15.89
0.98	15.9
0.982	15.91
0.984	15.92
0.986	15.93
0.988	15.94
0.99	15.95
0.992	15.96
0.994	15.97
0.996	15.98
0.998	15.99
1	16
